#z	mu	mu_err
0,016	34,35	0,22
0,0162	34,14	0,22
0,0163	33,98	0,24
0,0163	34,28	0,24
0,0164	34,37	0,22
0,0166	34,53	0,23
0,0167	34,16	0,23
0,0172	34,36	0,22
0,0176	34,28	0,22
0,0181	34,73	0,21
0,0198	34,84	0,18
0,0218	34,9	0,21
0,022	34,7	0,21
0,0232	35,12	0,18
0,0235	35,32	0,2
0,0243	35,24	0,2
0,0245	35,24	0,17
0,0248	35,1	0,18
0,0259	35,14	0,22
0,026	35,62	0,16
0,0263	35,6	0,19
0,0275	35,94	0,18
0,0279	35,17	0,18
0,0297	36,15	0,19
0,0305	35,88	0,16
0,0306	35,81	0,17
0,0315	35,82	0,17
0,0348	36,09	0,18
0,0357	36,02	0,17
0,0365	36,36	0,17
0,0392	36,54	0,13
0,0429	36,49	0,18
0,0451	36,91	0,19
0,0488	36,57	0,16
0,05	37,07	0,18
0,0502	36,69	0,2
0,0519	37,12	0,15
0,0537	36,92	0,15
0,0634	37,64	0,2
0,0707	37,78	0,19
0,0748	37,72	0,21
0,0789	37,78	0,15
0,0878	37,76	0,23
0,1009	38,8	0,15
0,1242	38,9	0,2
0,159	39,79	0,29
0,181	39,89	0,17
0,205	40,08	0,3
0,213	40,33	0,33
0,216	40,59	0,31
0,218	40,37	0,26
0,239	40,42	0,29
0,263	40,76	0,21
0,268	40,81	0,26
0,274	41,12	0,28
0,284	41,1	0,29
0,285	40,98	0,13
0,286	41,53	0,32
0,2912	40,56	0,32
0,302	41,39	0,37
0,309	41,42	0,27
0,309	41,16	0,21
0,331	41,3	0,21
0,332	41,51	0,28
0,333	40,71	0,14
0,3373	41,46	0,17
0,34	41,56	0,31
0,3402	41,63	0,17
0,341	41,29	0,23
0,342	41,63	0,21
0,344	41,32	0,17
0,346	41,5	0,25
0,348	41,89	0,27
0,352	41,62	0,27
0,357	41,65	0,22
0,3578	41,41	0,21
0,363	41,73	0,14
0,368	41,56	0,17
0,3709	41,8	0,23
0,383	41,56	0,22
0,399	41,96	0,43
0,401	41,96	0,22
0,401	42,34	0,4
0,415	42,06	0,17
0,416	42,16	0,39
0,421	42,22	0,33
0,421	42,18	0,16
0,422	41,78	0,24
0,426	41,98	0,23
0,429	42,25	0,2
0,43	41,81	0,18
0,436	42,05	0,2
0,436	42,1	0,17
0,449	42,07	0,24
0,451	41,35	0,23
0,46	42,19	0,33
0,4607	42,12	0,18
0,4627	42,25	0,17
0,463	42,58	0,28
0,469	42,28	0,16
0,47	42,03	0,2
0,475	42,2	0,21
0,493	42,38	0,26
0,495	42,4	0,21
0,496	42,33	0,2
0,497	42,23	0,26
